ad_match,L1_idx,Meaning_x,Meaning_y,gensim_similarity
ɛ,36,Herbst,Jahr,0.6691210269927979
søn,469,Heu,Feuer,0.4841439723968506
tɛ,1028,Winter,See,0.42209795117378235
ɛ,36,Herbst,schon,0.4206036627292633
mam,955,heute,kommen,0.41132017970085144
søn,469,Heu,fischen,0.4109136462211609
mam,955,heute,gehen,0.4083813428878784
mam,955,heute,bemerken,0.39910250902175903
sin,469,Heu,faul,0.39101845026016235
ɛr,798,Hemd,Mann,0.3894355297088623
til,1028,Winter,Zeit,0.38076022267341614
mamaɣ,955,heute,Menge,0.36999958753585815
ɛɣ,36,Herbst,Regen,0.36062899231910706
ɛr,798,Hemd,Wort,0.3591771423816681
ɛ,36,Herbst,dorthin,0.3448094129562378
ɛs,36,Herbst,Teil,0.33883702754974365
sɛt,440,grau,See,0.33052146434783936
ɛs,36,Herbst,Ruhe,0.328390896320343
mamu,955,heute,Name,0.32668888568878174
mam,955,heute,messen,0.319254070520401
tɛl,1028,Winter,sechs,0.3188289701938629
ɛs,36,Herbst,Weg,0.3142549693584442
tɛl,1028,Winter,zehn,0.31336772441864014
ɛs,36,Herbst,bleiben,0.30598339438438416
mamu,955,heute,Fleisch,0.30515244603157043
mam,955,heute,sinken,0.30499035120010376
mai,955,heute,Knabe,0.30328741669654846
sɛr,440,grau,Schmerz,0.301535964012146
mama,955,heute,Sand,0.2985398769378662
ɛvɛ,528,Freude,Mutter,0.287396103143692
sɛn,469,Heu,Zweig,0.28623804450035095
ɛs,36,Herbst,rot,0.28555187582969666
ɛs,36,Herbst,Rohr,0.28508228063583374
sit,440,grau,Zeit,0.28005218505859375
ɛs,36,Herbst,Preis,0.2782149612903595
ɛɣ,36,Herbst,Auge,0.27021241188049316
ɛs,36,Herbst,Honig,0.26965928077697754
ɛs,36,Herbst,alt,0.26760047674179077
sin,469,Heu,sieben,0.26373159885406494
tɛr,1028,Winter,Schmerz,0.2610864043235779
sør,440,grau,vier,0.2573280334472656
ɛ,36,Herbst,Wort,0.25448912382125854
tɛ,1028,Winter,sogleich,0.25335046648979187
tɛl,1028,Winter,Teil,0.25262677669525146
mama,955,heute,Mond,0.250426709651947
ɛr,798,Hemd,Tor,0.2437659651041031
ti,1028,Winter,Mutter,0.2357623130083084
mai,955,heute,Meer,0.23351451754570007
sɛt,440,grau,Zweig,0.2334160953760147
mmia,955,heute,Staub,0.2331494390964508
sinu,469,Heu,Sohn,0.23025672137737274
ɛsi,36,Herbst,Mutter,0.22954116761684418
maɣu,602,Mai,Knabe,0.2287011444568634
tø,1028,Winter,Zunge,0.22705873847007751
sɛt,440,grau,sechs,0.2262325882911682
ɛs,36,Herbst,Arzt,0.22455893456935883
ɛs,36,Herbst,Arzt,0.22455893456935883
ɛs,36,Herbst,Schuld,0.22222383320331573
tør,1028,Winter,Tor,0.218816876411438
ɛs,36,Herbst,Geruch,0.2181137353181839
vr,798,Hemd,vier,0.2163977473974228
ɛr,798,Hemd,Teil,0.21351847052574158
sɛw,440,grau,sogleich,0.20520749688148499
ɛ,36,Herbst,Gott,0.20449155569076538
sina,469,Heu,Wahrheit,0.20390956103801727
ɛ,36,Herbst,Mann,0.19928109645843506
ɛs,36,Herbst,Ohr,0.1948106735944748
sɛna,469,Heu,fern,0.19086411595344543
ɛr,798,Hemd,Preis,0.18765252828598022
ɛ,36,Herbst,Tor,0.187338188290596
ɛr,798,Hemd,Jahr,0.18675348162651062
tɛl,1028,Winter,Zweig,0.1830219179391861
ɛʃi,736,Regen,Mutter,0.18206484615802765
ɛvrɛ,528,Freude,Same,0.14281968772411346
